Maximum fit for each generation: 
Best fit for generation 753: 608
Best fit for generation 754: 608
Best fit for generation 755: 608
Best fit for generation 756: 608
Best fit for generation 757: 608
Best fit for generation 758: 608
Best fit for generation 759: 608
Best fit for generation 760: 608
Best fit for generation 761: 608
Best fit for generation 762: 608
Best fit for generation 763: 608
Best fit for generation 764: 608
Best fit for generation 765: 608
Best fit for generation 766: 608
Best fit for generation 767: 608
Best fit for generation 768: 608
Best fit for generation 769: 608
Best fit for generation 770: 608
Best fit for generation 771: 608
Best fit for generation 772: 608
Best fit for generation 773: 608
Best fit for generation 774: 608
Best fit for generation 775: 608
Best fit for generation 776: 608
Best fit for generation 777: 608
Best fit for generation 778: 608
Best fit for generation 779: 608
Best fit for generation 780: 608
Best fit for generation 781: 608
Best fit for generation 782: 608
Best fit for generation 783: 608
Best fit for generation 784: 608
Best fit for generation 785: 608
Best fit for generation 786: 608
Best fit for generation 787: 608
Best fit for generation 788: 608
Best fit for generation 789: 608
Best fit for generation 790: 608
Best fit for generation 791: 608
Best fit for generation 792: 608
Best fit for generation 793: 608
Best fit for generation 794: 608
Best fit for generation 795: 608
Best fit for generation 796: 608
Best fit for generation 797: 608
Best fit for generation 798: 608
Best fit for generation 799: 608
Best fit for generation 800: 608
Best fit for generation 801: 608
Best fit for generation 802: 608
Best fit for generation 803: 608
Best fit for generation 804: 608
Best fit for generation 805: 608
Best fit for generation 806: 608
Best fit for generation 807: 608
Best fit for generation 808: 608
Best fit for generation 809: 608
Best fit for generation 810: 608
Best fit for generation 811: 608
Best fit for generation 812: 608
Best fit for generation 813: 608
Best fit for generation 814: 608
Best fit for generation 815: 608
Best fit for generation 816: 608
Best fit for generation 817: 608
Best fit for generation 818: 608
Best fit for generation 819: 608
Best fit for generation 820: 608
Best fit for generation 821: 608
Best fit for generation 822: 608
Best fit for generation 823: 608
Best fit for generation 824: 608
Best fit for generation 825: 608
Best fit for generation 826: 608
Best fit for generation 827: 608
Best fit for generation 828: 608
Best fit for generation 829: 608
Best fit for generation 830: 608
Best fit for generation 831: 608
Best fit for generation 832: 608
Best fit for generation 833: 608
Best fit for generation 834: 608
Best fit for generation 835: 608
Best fit for generation 836: 608
Best fit for generation 837: 608
Best fit for generation 838: 608
Best fit for generation 839: 608
Best fit for generation 840: 608
Best fit for generation 841: 608
Best fit for generation 842: 608
Best fit for generation 843: 608
Best fit for generation 844: 608
Best fit for generation 845: 608
Best fit for generation 846: 608
Best fit for generation 847: 608
Best fit for generation 848: 608
Best fit for generation 849: 608
Best fit for generation 850: 608
Best fit for generation 851: 608
Best fit for generation 852: 608
Best fit for generation 853: 608
Best fit for generation 854: 608
Best fit for generation 855: 608
Best fit for generation 856: 608
Best fit for generation 857: 608
Best fit for generation 858: 608
Best fit for generation 859: 608
Best fit for generation 860: 608
Best fit for generation 861: 608
Best fit for generation 862: 608
Best fit for generation 863: 608
Best fit for generation 864: 608
Best fit for generation 865: 608
Best fit for generation 866: 608
Best fit for generation 867: 608
Best fit for generation 868: 608
Best fit for generation 869: 608
Best fit for generation 870: 608
Best fit for generation 871: 608
Best fit for generation 872: 608
Best fit for generation 873: 608
Best fit for generation 874: 608
Best fit for generation 875: 608
Best fit for generation 876: 608
Best fit for generation 877: 608
Best fit for generation 878: 608
Best fit for generation 879: 608
Best fit for generation 880: 608
Best fit for generation 881: 608
Best fit for generation 882: 608
Best fit for generation 883: 608
Best fit for generation 884: 608
Best fit for generation 885: 608
Best fit for generation 886: 608
Best fit for generation 887: 608
Best fit for generation 888: 608
Best fit for generation 889: 608
Best fit for generation 890: 608
Best fit for generation 891: 608
Best fit for generation 892: 608
Best fit for generation 893: 608
Best fit for generation 894: 608
Best fit for generation 895: 608
Best fit for generation 896: 608
Best fit for generation 897: 608
Best fit for generation 898: 608
Best fit for generation 899: 608
Best fit for generation 900: 608
Best fit for generation 901: 608
Best fit for generation 902: 608
Best fit for generation 903: 608
Best fit for generation 904: 608
Best fit for generation 905: 608
Best fit for generation 906: 608
Best fit for generation 907: 608
Best fit for generation 908: 608
Best fit for generation 909: 608
Best fit for generation 910: 608
Best fit for generation 911: 608
Best fit for generation 912: 608
Best fit for generation 913: 608
Best fit for generation 914: 608
Best fit for generation 915: 608
Best fit for generation 916: 608
Best fit for generation 917: 608
Best fit for generation 918: 608
Best fit for generation 919: 608
Best fit for generation 920: 608
Best fit for generation 921: 608
Best fit for generation 922: 608
Best fit for generation 923: 608
Best fit for generation 924: 608
Best fit for generation 925: 608
Best fit for generation 926: 608
Best fit for generation 927: 608
Best fit for generation 928: 608
Best fit for generation 929: 608
Best fit for generation 930: 608
Best fit for generation 931: 608
Best fit for generation 932: 608
Best fit for generation 933: 608
Best fit for generation 934: 608
Best fit for generation 935: 608
Best fit for generation 936: 608
Best fit for generation 937: 608
Best fit for generation 938: 608
Best fit for generation 939: 608
Best fit for generation 940: 608
Best fit for generation 941: 608
Best fit for generation 942: 608
Best fit for generation 943: 608
Best fit for generation 944: 608
Best fit for generation 945: 608
Best fit for generation 946: 608
Best fit for generation 947: 608
Best fit for generation 948: 608
Best fit for generation 949: 608
Best fit for generation 950: 608
Best fit for generation 951: 608
Best fit for generation 952: 608
Best fit for generation 953: 608
Best fit for generation 954: 608
