Maximum fit for each generation: 
Best fit for generation 317: 448
Best fit for generation 318: 448
Best fit for generation 319: 448
Best fit for generation 320: 448
Best fit for generation 321: 448
Best fit for generation 322: 448
Best fit for generation 323: 448
Best fit for generation 324: 448
Best fit for generation 325: 448
Best fit for generation 326: 448
Best fit for generation 327: 448
Best fit for generation 328: 448
Best fit for generation 329: 448
Best fit for generation 330: 448
Best fit for generation 331: 448
Best fit for generation 332: 448
Best fit for generation 333: 448
Best fit for generation 334: 448
Best fit for generation 335: 448
Best fit for generation 336: 448
Best fit for generation 337: 448
Best fit for generation 338: 448
Best fit for generation 339: 477
Best fit for generation 340: 477
Best fit for generation 341: 477
Best fit for generation 342: 477
Best fit for generation 343: 477
Best fit for generation 344: 477
Best fit for generation 345: 477
Best fit for generation 346: 477
Best fit for generation 347: 477
Best fit for generation 348: 477
Best fit for generation 349: 477
Best fit for generation 350: 477
Best fit for generation 351: 477
Best fit for generation 352: 477
Best fit for generation 353: 477
Best fit for generation 354: 477
Best fit for generation 355: 477
Best fit for generation 356: 477
Best fit for generation 357: 477
Best fit for generation 358: 477
Best fit for generation 359: 477
Best fit for generation 360: 477
Best fit for generation 361: 477
Best fit for generation 362: 477
Best fit for generation 363: 477
Best fit for generation 364: 477
Best fit for generation 365: 477
Best fit for generation 366: 477
Best fit for generation 367: 477
Best fit for generation 368: 477
Best fit for generation 369: 477
Best fit for generation 370: 477
Best fit for generation 371: 477
Best fit for generation 372: 477
Best fit for generation 373: 477
Best fit for generation 374: 477
Best fit for generation 375: 477
Best fit for generation 376: 477
Best fit for generation 377: 477
Best fit for generation 378: 477
Best fit for generation 379: 477
Best fit for generation 380: 477
Best fit for generation 381: 477
Best fit for generation 382: 477
Best fit for generation 383: 477
Best fit for generation 384: 477
Best fit for generation 385: 477
Best fit for generation 386: 477
Best fit for generation 387: 477
Best fit for generation 388: 477
Best fit for generation 389: 477
Best fit for generation 390: 477
Best fit for generation 391: 477
Best fit for generation 392: 477
Best fit for generation 393: 477
Best fit for generation 394: 477
Best fit for generation 395: 477
Best fit for generation 396: 477
Best fit for generation 397: 477
Best fit for generation 398: 477
Best fit for generation 399: 477
Best fit for generation 400: 477
Best fit for generation 401: 477
Best fit for generation 402: 477
Best fit for generation 403: 477
Best fit for generation 404: 477
Best fit for generation 405: 477
Best fit for generation 406: 477
Best fit for generation 407: 477
Best fit for generation 408: 477
Best fit for generation 409: 477
Best fit for generation 410: 477
Best fit for generation 411: 477
Best fit for generation 412: 477
Best fit for generation 413: 477
Best fit for generation 414: 477
Best fit for generation 415: 477
Best fit for generation 416: 477
Best fit for generation 417: 477
Best fit for generation 418: 477
Best fit for generation 419: 477
Best fit for generation 420: 477
Best fit for generation 421: 477
Best fit for generation 422: 477
Best fit for generation 423: 477
Best fit for generation 424: 477
Best fit for generation 425: 477
Best fit for generation 426: 477
Best fit for generation 427: 477
Best fit for generation 428: 477
Best fit for generation 429: 477
Best fit for generation 430: 477
