Maximum fit for each generation: 
Best fit for generation 699: 443
Best fit for generation 700: 443
Best fit for generation 701: 443
Best fit for generation 702: 443
Best fit for generation 703: 443
Best fit for generation 704: 443
Best fit for generation 705: 443
Best fit for generation 706: 443
Best fit for generation 707: 443
Best fit for generation 708: 443
Best fit for generation 709: 443
Best fit for generation 710: 443
Best fit for generation 711: 443
Best fit for generation 712: 443
Best fit for generation 713: 443
Best fit for generation 714: 443
Best fit for generation 715: 443
Best fit for generation 716: 443
Best fit for generation 717: 443
Best fit for generation 718: 443
Best fit for generation 719: 443
Best fit for generation 720: 443
Best fit for generation 721: 443
Best fit for generation 722: 443
Best fit for generation 723: 443
Best fit for generation 724: 443
Best fit for generation 725: 443
Best fit for generation 726: 443
Best fit for generation 727: 443
Best fit for generation 728: 443
Best fit for generation 729: 443
Best fit for generation 730: 443
Best fit for generation 731: 443
Best fit for generation 732: 443
Best fit for generation 733: 443
Best fit for generation 734: 443
Best fit for generation 735: 443
Best fit for generation 736: 443
Best fit for generation 737: 443
Best fit for generation 738: 443
Best fit for generation 739: 443
Best fit for generation 740: 443
Best fit for generation 741: 443
Best fit for generation 742: 443
Best fit for generation 743: 443
Best fit for generation 744: 443
Best fit for generation 745: 443
Best fit for generation 746: 443
Best fit for generation 747: 443
Best fit for generation 748: 443
Best fit for generation 749: 443
Best fit for generation 750: 443
Best fit for generation 751: 443
Best fit for generation 752: 443
Best fit for generation 753: 443
Best fit for generation 754: 443
Best fit for generation 755: 443
Best fit for generation 756: 443
Best fit for generation 757: 443
Best fit for generation 758: 443
Best fit for generation 759: 443
Best fit for generation 760: 443
Best fit for generation 761: 443
Best fit for generation 762: 443
Best fit for generation 763: 443
Best fit for generation 764: 443
Best fit for generation 765: 443
Best fit for generation 766: 443
Best fit for generation 767: 443
Best fit for generation 768: 443
Best fit for generation 769: 443
Best fit for generation 770: 443
Best fit for generation 771: 443
Best fit for generation 772: 443
Best fit for generation 773: 443
Best fit for generation 774: 443
Best fit for generation 775: 443
Best fit for generation 776: 443
Best fit for generation 777: 443
Best fit for generation 778: 443
Best fit for generation 779: 443
Best fit for generation 780: 443
Best fit for generation 781: 443
Best fit for generation 782: 443
Best fit for generation 783: 443
Best fit for generation 784: 443
Best fit for generation 785: 443
Best fit for generation 786: 443
Best fit for generation 787: 443
Best fit for generation 788: 443
Best fit for generation 789: 443
Best fit for generation 790: 443
Best fit for generation 791: 443
Best fit for generation 792: 443
Best fit for generation 793: 443
Best fit for generation 794: 443
Best fit for generation 795: 443
Best fit for generation 796: 443
Best fit for generation 797: 443
Best fit for generation 798: 443
Best fit for generation 799: 443
Best fit for generation 800: 443
Best fit for generation 801: 443
Best fit for generation 802: 443
Best fit for generation 803: 443
Best fit for generation 804: 443
Best fit for generation 805: 443
Best fit for generation 806: 443
Best fit for generation 807: 443
Best fit for generation 808: 443
Best fit for generation 809: 443
Best fit for generation 810: 443
Best fit for generation 811: 443
Best fit for generation 812: 443
Best fit for generation 813: 443
Best fit for generation 814: 443
Best fit for generation 815: 443
Best fit for generation 816: 443
Best fit for generation 817: 443
Best fit for generation 818: 443
Best fit for generation 819: 443
Best fit for generation 820: 443
Best fit for generation 821: 443
Best fit for generation 822: 443
Best fit for generation 823: 443
Best fit for generation 824: 443
Best fit for generation 825: 443
Best fit for generation 826: 443
Best fit for generation 827: 443
Best fit for generation 828: 443
Best fit for generation 829: 443
Best fit for generation 830: 443
Best fit for generation 831: 443
Best fit for generation 832: 443
Best fit for generation 833: 443
Best fit for generation 834: 443
Best fit for generation 835: 443
Best fit for generation 836: 443
Best fit for generation 837: 443
Best fit for generation 838: 443
Best fit for generation 839: 443
Best fit for generation 840: 443
Best fit for generation 841: 443
Best fit for generation 842: 443
Best fit for generation 843: 443
Best fit for generation 844: 443
Best fit for generation 845: 443
Best fit for generation 846: 443
Best fit for generation 847: 443
Best fit for generation 848: 443
Best fit for generation 849: 443
Best fit for generation 850: 443
Best fit for generation 851: 443
Best fit for generation 852: 443
Best fit for generation 853: 443
Best fit for generation 854: 443
Best fit for generation 855: 443
Best fit for generation 856: 443
Best fit for generation 857: 443
Best fit for generation 858: 443
Best fit for generation 859: 443
Best fit for generation 860: 443
Best fit for generation 861: 443
Best fit for generation 862: 443
Best fit for generation 863: 443
Best fit for generation 864: 443
Best fit for generation 865: 443
Best fit for generation 866: 443
